Puesto,Empresa,Detalles,Enlace
Senior Data Scientist,Randstad ES,13/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/senior-data-scientist-randstad-es/php-sql/rf-89961970125573bb0549
Senior Data Scientist,Veepee,03/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/senior-data-scientist-veepee/python-sql/rf-ab801c26e2c123d33446
Senior Data Scientist,Wallapop,22/01/2026 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/senior-data-scientist-wallapop/etl-python/rf-987d13d832d0b3228e4c
Data Scientist Consultant,Accenture,19/11/2025 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-scientist-consultant-accenture/python-r/rf-f3c7118012eab3d33b45
Data Scientist,Plexus,27/06/2025 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-scientist-plexus/python-sql/rf-4c531d0722c48367d847
Senior Data Engineer,Nestle,17/04/2025 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/senior-data-engineer-nestle/r-python-hadoop-hbase-spark-impala/rf-4fb91360f2999336c347
Data Analytics Intern,Criteo,04/04/2025 |  | Barcelona | Analista,https://www.tecnoempleo.com/data-analytics-intern-criteo/sql-python/rf-60241e9042f933de5c42
Data Scientist Bioinformatics,BASF,03/04/2025 |  | Madrid | Base de Datos/DBA,https://www.tecnoempleo.com/data-scientist-bioinformatics-basf/postgresql-mysql-sqlite-mongodb/rf-c7c41f7d4248c3f6b745
Senior Data Scientist,EPAM,28/03/2025 |  | Madrid | Big Data,https://www.tecnoempleo.com/senior-data-scientist-epam/r-azure-devops/rf-141d1fc922abc3f6b148
Senior Data Scientist,BASF,28/03/2025 |  | Madrid (Híbrido) | Big Data,https://www.tecnoempleo.com/senior-data-scientist-basf/pytorch-tensorflow-python/rf-311c14848226f3822144
Data Foundations Manager,Accenture,20/03/2025 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-foundations-manager-accenture/etl-sql-aws-azure-gcp/rf-6e7117b1420233c26343
Data Foundations Consultant,Accenture,20/03/2025 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-foundations-consultant-accenture/etl-aws-azure-gcp-python/rf-ba8a1720e2c22326d44b
Data Scientist,Krell Consulting & Training,26/07/2024 |  | Madrid (Híbrido) | Consultor,https://www.tecnoempleo.com/data-scientist-hibrido/python-pyspark-postgresql-power-bi/rf-7ce11417724913be424b
"Analista Programador IA, BI",Incoming Domain,18/03/2026 Nueva |  | Madrid y otras | Analista Programador | 21.000€ - 30.000€ b/a,https://www.tecnoempleo.com/analista-programador-ia-bi-incoming-domain/aws-iam/rf-a6f81eb27292d3d98a41
Desarrollador Back-End (Python),Talan,18/03/2026 Nueva |  | Málaga | Programador,https://www.tecnoempleo.com/desarrollador-back-end-python-talan/fastapi-aws/rf-a8671026f28d4348da42
Desarrollador Back-End (Python),Talan,18/03/2026 Actualizada |  | Alicante | Programador,https://www.tecnoempleo.com/desarrollador-back-end-python-talan/aws-lambda-sql/rf-d32f12b422d84346c249
Python Developer + Power BI knowledge,Talan,18/03/2026 Actualizada |  | Málaga | Analista,https://www.tecnoempleo.com/python-developer-power-bi-knowledge-talan/power-bi-numpy/rf-fdb51449e29c63274446
Senior .NET Developer,Talan,18/03/2026 Actualizada |  | Málaga | Programador,https://www.tecnoempleo.com/senior-net-developer-talan/net-net-core/rf-9cac1b3f828523aa3843
Senior Responsible AI Architect,Accenture,18/03/2026 Actualizada |  | Barcelona | Arquitecto TIC,https://www.tecnoempleo.com/senior-responsible-ai-architect-accenture/aws-azure/rf-a8aa193ce2cc73674346
Senior AI Engineer with Italian,EY,18/03/2026 Actualizada |  | Málaga | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-engineer-with-italian-ey/python-mlops/rf-8fe718d432cca3996045
GenAI Engineer - EY GDS Spain - Hybrid,EY,18/03/2026 Actualizada |  | Málaga | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/genai-engineer-ey-gds-spain-hybrid-ey/python-langchain/rf-4f501bb7d20313c2be46
Java Backend Developer (m/f/d),BASF,17/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/java-backend-developer-m-f-d-basf/spring/rf-0ad61661226c536f094a
Senior AI Platform Engineer,AstraZeneca,16/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-platform-engineer-astrazeneca/inteligencia-artificial-machine-le/rf-742a1a35820953f81b42
Desarrollador/a de software IA,Enusa Industrias Avanzadas,16/03/2026 |  | Madrid | Analista Programador | 45.000€ - 54.000€ b/a,https://www.tecnoempleo.com/desarrollador-software-ia-enusa-industrias-avanzad/j2ee-java/rf-5d281102922c6352c549
Python Developer + Power BI knowledge,Talan,16/03/2026 |  | Málaga (Híbrido) | Analista,https://www.tecnoempleo.com/python-developer-power-bi-knowledge-talan/power-bi-numpy/rf-7e6416a322cd93531248
Backend Developer - BI Spark/Scala,Talan,16/03/2026 |  | Málaga (Híbrido) | Analista,https://www.tecnoempleo.com/backend-developer-bi-spark-scala-talan/etl-sql/rf-0d9b176fa20503845643
Senior Full-Stack Developer (Java/Angular),Talan,16/03/2026 |  | Málaga (Híbrido) | Programador,https://www.tecnoempleo.com/senior-full-stack-developer-java-angular-talan/openshift-spring-boot/rf-19751927b28c43dfce4e
Digital Transformation Analyst - IA specialist,Page Personnel,16/03/2026 |  | Barcelona | Consultor | Contrato temporal,https://www.tecnoempleo.com/digital-transformation-analyst-ia-specialist-page-/google-cloud-google-wor/rf-15a11109a2b29368eb4b
